C8C8  4C CF C8                                   A:0 X:0 Y:0 P:6E SP:FB PPU:  0, 21 CYC:15
C8CF  EA 38 B8                                   A:0 X:0 Y:0 P:6E SP:FB PPU:  0, 21 CYC:15
C8D0  38 B8 A9                                   A:0 X:0 Y:0 P:6E SP:FB PPU:  0, 21 CYC:15
C8D1  B8 A9 F8                                   A:0 X:0 Y:0 P:6F SP:FB PPU:  0, 21 CYC:15
C8D2  A9 F8 29                                   A:0 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:15
C8D4  29 EF 90                                   A:F8 X:0 Y:0 P:AD SP:FB PPU:  0, 21 CYC:15
C8D6  90 B 10                                   A:E8 X:0 Y:0 P:AD SP:FB PPU:  0, 21 CYC:17
C8D8  10 9 C9                                   A:E8 X:0 Y:0 P:AD SP:FB PPU:  0, 21 CYC:17
C8DA  C9 E8 D0                                   A:E8 X:0 Y:0 P:AD SP:FB PPU:  0, 21 CYC:17
C8DC  D0 5 70                                   A:E8 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:17
C8DE  70 3 4C                                   A:E8 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:17
C8E0  4C E7 C8                                   A:E8 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:17
C8E7  EA 18 24                                   A:E8 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:17
C8E8  18 24 1                                   A:E8 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:17
C8E9  24 1 A9                                   A:E8 X:0 Y:0 P:2E SP:FB PPU:  0, 21 CYC:17
C8EB  A9 5F 49                                   A:E8 X:0 Y:0 P:EC SP:FB PPU:  0, 21 CYC:17
C8ED  49 AA B0                                   A:5F X:0 Y:0 P:6C SP:FB PPU:  0, 21 CYC:17
C8EF  B0 B 10                                   A:F5 X:0 Y:0 P:EC SP:FB PPU:  0, 21 CYC:17
C8F1  10 9 C9                                   A:F5 X:0 Y:0 P:EC SP:FB PPU:  0, 21 CYC:17
C8F3  C9 F5 D0                                   A:F5 X:0 Y:0 P:EC SP:FB PPU:  0, 21 CYC:17
C8F5  D0 5 50                                   A:F5 X:0 Y:0 P:6F SP:FB PPU:  0, 21 CYC:17
C8F7  50 3 4C                                   A:F5 X:0 Y:0 P:6F SP:FB PPU:  0, 21 CYC:17
C8F9  4C 0 C9                                   A:F5 X:0 Y:0 P:6F SP:FB PPU:  0, 21 CYC:17
C900  EA 38 B8                                   A:F5 X:0 Y:0 P:6F SP:FB PPU:  0, 21 CYC:17
C901  38 B8 A9                                   A:F5 X:0 Y:0 P:6F SP:FB PPU:  0, 21 CYC:17
C902  B8 A9 70                                   A:F5 X:0 Y:0 P:6F SP:FB PPU:  0, 21 CYC:17
C903  A9 70 49                                   A:F5 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:17
C905  49 70 D0                                   A:70 X:0 Y:0 P:2D SP:FB PPU:  0, 21 CYC:17
C907  D0 9 70                                   A:0 X:0 Y:0 P:2F SP:FB PPU:  0, 21 CYC:17
